tests_page,N,Nj,loss_avg,loss_std,budget
1,3,3,21.460629,4.91282135899,600.0
1,5,5,1.715699,1.28425362542,1000.0
1,7,7,0.182187,0.366140047019,1400.0
1,9,9,0.063785,0.133537435856,1800.0
1,11,11,0.04978,0.0322630376747,2200.0
1,13,12,0.049218,0.054911478545,2600.0
1,15,13,0.044364,0.0450446390151,3000.0
1,17,14,0.038986,0.0320890605035,3400.0
1,19,15,0.038379,0.071036563536,3800.0
2,3,3,16.560615,4.13139645093,600.0
2,5,5,1.167424,1.06797046224,1000.0
2,7,7,0.115124,0.260402693197,1400.0
2,9,9,0.050843,0.0633715894625,1800.0
2,11,11,0.04942,0.032326577301,2200.0
2,13,12,0.044296,0.00644238961877,2600.0
2,15,13,0.039148,0.00614720229047,3000.0
2,17,14,0.036747,0.0549583022936,3400.0
2,19,15,0.02918,0.0319259079746,3800.0
3,3,3,7.822849,2.87464775202,600.0
3,5,5,0.358872,0.566947406393,1000.0
3,7,7,0.04709,0.0835421564242,1400.0
3,9,8,0.039895,0.104313105481,1800.0
3,11,10,0.036176,0.0452169550501,2200.0
3,13,11,0.026633,0.0320133770633,2600.0
3,15,12,0.019267,0.0318073845357,3000.0
3,17,13,0.015464,0.0548336092556,3400.0
3,19,14,0.008718,0.00306406200982,3800.0
4,3,3,7.045605,2.75483293849,600.0
4,5,5,0.295549,0.501614028511,1000.0
4,7,7,0.046505,0.0897564258145,1400.0
4,9,9,0.042643,0.00638729606328,1800.0
4,11,9,0.0276,0.0995500577599,2200.0
4,13,10,0.023382,0.1088198331,2600.0
4,15,11,0.014111,0.0834156380962,3000.0
4,17,12,0.009335,0.0705665556408,3400.0
4,19,13,0.003672,0.0316582124574,3800.0
5,3,3,3.011979,1.7759705168,600.0
5,5,5,0.09121,0.258476385575,1000.0
5,7,7,0.033343,0.03209204498,1400.0
5,9,8,0.019279,0.0318098594621,1800.0
5,11,9,0.009975,0.0030744714993,2200.0
5,13,10,0.005998,0.031588732105,2600.0
5,15,10,0.0006,0.000781024967591,3000.0
5,17,12,0.001168,0.00110624409603,3400.0
5,19,12,0.000113,0.000332010542001,3800.0
6,3,3,2.120497,1.45081671413,600.0
6,5,5,0.053469,0.173497743614,1000.0
6,7,7,0.030659,0.00541892230983,1400.0
6,9,7,0.013714,0.0944483255754,1800.0
6,11,8,0.006934,0.0705503341169,2200.0
6,13,9,0.00183,0.0316252288529,2600.0
6,15,10,0.001339,0.0316334961552,3000.0
6,17,12,0.000644,0.000810718200116,3400.0
6,19,13,0.000292,0.000546567470675,3800.0
7,3,3,1.758423,1.27166145498,600.0
7,5,5,0.054627,0.181437933936,1000.0
7,7,7,0.028661,0.00532504262894,1400.0
7,9,7,0.016098,0.108884178814,1800.0
7,11,9,0.007713,0.03165470946,2200.0
7,13,10,0.003154,0.00170946892338,2600.0
7,15,10,0.001336,0.0316651402018,3000.0
7,17,12,0.000578,0.000753602016982,3400.0
7,19,13,0.000293,0.000550591500116,3800.0
8,3,3,0.728324,0.83428451803,600.0
8,5,5,0.022546,0.0448359887144,1000.0
8,7,6,0.01419,0.0834470125289,1400.0
8,9,7,0.003468,0.0315995407562,1800.0
8,11,8,0.000774,0.000866558711225,2200.0
8,13,9,0.000248,0.000514291745996,2600.0
8,15,9,7e-06,8.33726573884e-05,3000.0
8,17,10,4e-06,6.31189353522e-05,3400.0
8,19,10,0.0,0.0,3800.0
9,3,3,0.999949,0.969278481345,600.0
9,5,5,0.033255,0.108960781821,1000.0
9,7,6,0.021912,0.117571000914,1400.0
9,9,7,0.007814,0.0706938427588,1800.0
9,11,9,0.00469,0.00213398687906,2200.0
9,13,9,0.000339,0.000583162927491,2600.0
9,15,10,0.000126,0.000346589093885,3000.0
9,17,11,3.3e-05,0.000184149395872,3400.0
9,19,12,9e-06,9.44404574322e-05,3800.0
10,3,3,0.781605,0.910542728802,600.0
10,5,5,0.028196,0.0996516210806,1000.0
10,7,6,0.008881,0.0546213954326,1400.0
10,9,7,0.001876,0.00138008115703,1800.0
10,11,8,0.000552,0.000713649774049,2200.0
10,13,9,0.000175,0.000422344645994,2600.0
10,15,10,6.6e-05,0.000263901496775,3000.0
10,17,10,1e-06,3.16069612586e-05,3400.0
10,19,11,1e-06,3.16069612586e-05,3800.0
