test_page,papers_page,trust_min,quiz_papers_n,n_papers,price_row,judgment_min,fp_cost,fn_cost,budget_spent_avg,paid_pages_n_avg,ch_did_round_prop,wrk_did_round_prop,acc_mv_avg,fp_avg,fn_avg,fp_mv_lose_avg,fn_mv_lose_avg,acc_mv_std,fp_mv_lose_std,fn_mv_lose_std,fp_cons_lose_avg,fp_cons_lose_std,fn_cons_lose_avg,fn_cons_lose_std,consent_thrs
0,5,1.0,10,300,0.2,5,3,1,300.0,300.0,0.00310333333333,0.996896666667,0.994546666667,0.00569292509076,0.00541224937114,0.525,1.461,0.00426810392459,1.24554205068,1.21839197305,0.0170787752723,0.0409156761053,0.00541224937114,0.00450809224426,0.6
0,5,1.0,1,300,0.2,5,3,1,300.0,300.0,0.22845,0.77155,0.854706666667,0.145088551852,0.145264234662,13.101,39.221,0.0234374477185,6.5413147761,6.66634525059,0.435265655556,0.203801038873,0.145264234662,0.0244990192451,0.8
0,5,1.0,2,300,0.2,5,3,1,300.0,300.0,0.148843333333,0.851156666667,0.90895,0.0894649415684,0.0911945346105,8.118,24.609,0.0190402424704,5.1522884236,5.32579749897,0.268394824705,0.1644624462,0.0911945346105,0.0195157242071,0.8
0,5,1.0,3,300,0.2,5,3,1,300.0,300.0,0.107686666667,0.892313333333,0.935666666667,0.0647981947784,0.0642468645847,5.904,17.332,0.0152249794745,4.20318736199,4.26729141259,0.194394584335,0.133199747198,0.0642468645847,0.0157272268808,0.8
0,5,1.0,4,300,0.2,5,3,1,300.0,300.0,0.07198,0.92802,0.955643333333,0.0441768786953,0.0444159049073,3.927,11.998,0.0132357894446,3.41989341939,3.7002697199,0.132530636086,0.116350898183,0.0444159049073,0.0137103953471,0.8
0,5,1.0,5,300,0.2,5,3,1,300.0,300.0,0.03367,0.96633,0.97307,0.0261439382306,0.0270253959384,2.334,7.301,0.0100966215472,2.59931606389,2.83344295866,0.0784318146919,0.0875104533338,0.0270253959384,0.0104795732643,0.8
0,5,1.0,6,300,0.2,5,3,1,300.0,300.0,0.02509,0.97491,0.981456666667,0.01876948398,0.0185279683882,1.683,5.002,0.00799168387207,2.18048412056,2.26494944756,0.05630845194,0.0733270628568,0.0185279683882,0.00838624209403,0.8
0,5,1.0,7,300,0.2,5,3,1,300.0,300.0,0.0142833333333,0.985716666667,0.987136666667,0.0128247393667,0.0128943854171,1.122,3.485,0.00682732988315,1.80030997331,1.92087870518,0.0384742181,0.0629464250148,0.0128943854171,0.00708937264647,0.8
0,5,1.0,8,300,0.2,5,3,1,300.0,300.0,0.00884333333333,0.991156666667,0.99116,0.00882410015758,0.00885830355947,0.786,2.39,0.00538608907794,1.51003443669,1.52640099581,0.0264723004727,0.0511650556212,0.00885830355947,0.00566782171149,0.8
0,5,1.0,9,300,0.2,5,3,1,300.0,300.0,0.00660666666667,0.993393333333,0.992926666667,0.00740298391375,0.00704198028925,0.663,1.901,0.00487523902548,1.38831948773,1.39685324927,0.0222089517413,0.047485924965,0.00704198028925,0.00517213656691,0.8
0,5,1.0,10,300,0.2,5,3,1,300.0,300.0,0.00390666666667,0.996093333333,0.993943333333,0.00590257751111,0.00607726146468,0.522,1.643,0.00452831953132,1.25758339684,1.28201053038,0.0177077325333,0.0438600488043,0.00607726146468,0.00474181718451,0.8
