Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,pow_term,theta
1,3,5,0.0479,0.0196440830786,0.0154924142239,0.993095377593,11.627,0.302217471368,SM-runs,0.993095377593,0.978808809241,0.990669683745,0.05,0.3
1,3,5,0.0479,0.0189391129676,0.00943817105077,0.945516634596,8.5779,0.740855782187,SM-runs,0.945516634596,0.917345977474,0.940535207205,0.05,0.8
1,3,5,0.0446,0.0145684590812,0.0139144084682,0.989209546808,11.7051,0.318585451645,SM-runs,0.989209546808,0.981287161736,0.987874582319,-0.05,0.3
1,3,5,0.0508,0.0261908380927,0.0103372704409,0.956172273407,8.8803,0.701783734494,SM-runs,0.956172273407,0.912822542694,0.948288075843,-0.05,0.8
1,3,5,0.056,0.0266533299983,0.0176611500435,0.989245040784,11.6222,0.246522128824,SM-runs,0.989245040784,0.975716370038,0.986940294318,0.1,0.3
1,3,5,0.0548,0.0185029727341,0.0110959106592,0.950451812699,9.0141,0.561832083456,SM-runs,0.950451812699,0.904225456537,0.942168998438,0.1,0.8
1,3,5,0.0514,0.0176022725806,0.0160521612093,0.988491039789,11.647,0.43425614561,SM-runs,0.988491039789,0.978160647848,0.986739189271,-0.1,0.3
1,3,5,0.053,0.0124659536338,0.010722003572,0.952908670903,8.8682,0.466453598979,SM-runs,0.952908670903,0.912352843906,0.945744270175,-0.1,0.8
1,3,5,0.0547,0.0174702604445,0.0176676556404,0.990180802628,11.3626,0.420236171694,SM-runs,0.990180802628,0.976773671519,0.987906923181,random,0.3
1,3,5,0.0589,0.0198063121252,0.0122370514661,0.960241304462,8.8391,0.574387230011,SM-runs,0.960241304462,0.898899184598,0.949216043732,random,0.8
1,3,5,0.0558,0.0245104059534,0.0177429673246,0.989930119724,11.3547,0.405243149233,SM-runs,0.989930119724,0.975915283296,0.987533422078,None,0.3
1,3,5,0.0387,0.0110095413165,0.00803587228692,0.973610417168,9.6505,0.534804123021,SM-runs,0.973610417168,0.933891741193,0.966617142326,None,0.8
1,5,5,0.0404,0.0174939989711,0.012809160471,0.990793283437,11.6518,0.360259573086,SM-runs,0.990793283437,0.983198995365,0.989505031843,0.05,0.3
1,5,5,0.0431,0.0220791757093,0.00860259498155,0.955253127789,9.1762,0.708048840123,SM-runs,0.955253127789,0.929403219465,0.950603953979,0.05,0.8
1,5,5,0.0354,0.0139226434272,0.0109939218571,0.990901719887,11.5541,0.231025734497,SM-runs,0.990901719887,0.985304011835,0.989962296695,-0.05,0.3
1,5,5,0.0396,0.0149879951962,0.00790774644121,0.959532697345,9.1712,0.507619109175,SM-runs,0.959532697345,0.932455457264,0.954785855767,-0.05,0.8
1,5,5,0.0446,0.0118928549979,0.0146270584685,0.992799118306,11.4689,0.202247101339,SM-runs,0.992799118306,0.981025487151,0.990812263682,0.1,0.3
1,5,5,0.0381,0.0160714031746,0.00721062153866,0.94191281651,8.8705,0.487582659659,SM-runs,0.94191281651,0.935175702935,0.940492223375,0.1,0.8
1,5,5,0.0379,0.0124695629434,0.0115643262934,0.989472462856,11.5866,0.327640412648,SM-runs,0.989472462856,0.984149549486,0.988573804975,-0.1,0.3
1,5,5,0.042,0.0131224997619,0.00835961234487,0.953988591944,8.7729,0.638226519349,SM-runs,0.953988591944,0.928542086931,0.949528244966,-0.1,0.8
1,5,5,0.0318,0.0118894911582,0.00946835284709,0.989653990471,11.6107,0.530773595801,SM-runs,0.989653990471,0.986893443975,0.989188738443,random,0.3
1,5,5,0.0322,0.0138188277361,0.00597715146193,0.945569943145,9.0142,0.558017526606,SM-runs,0.945569943145,0.945092908863,0.945249166077,random,0.8
1,5,5,0.0498,0.0240491164079,0.016109478111,0.992210882252,11.3023,0.356073321101,SM-runs,0.992210882252,0.978375073911,0.989855922837,None,0.3
1,5,5,0.0417,0.0124100765509,0.00719957048456,0.910612596342,8.9779,1.64527064339,SM-runs,0.910612596342,0.933374308653,0.912131682345,None,0.8
1,10,5,0.0389,0.0190968583804,0.0126409834932,0.993184302586,12.1018,0.273570758671,SM-runs,0.993184302586,0.983456500797,0.991536642335,0.05,0.3
1,10,5,0.0219,0.0113176852757,0.00380154894466,0.95464176558,9.5036,0.459032722145,SM-runs,0.95464176558,0.967324725229,0.956674655684,0.05,0.8
1,10,5,0.0219,0.00841961994392,0.00654453398245,0.992983809095,12.2333,0.234217441707,SM-runs,0.992983809095,0.990950108618,0.992639645018,-0.05,0.3
1,10,5,0.0225,0.0125638369935,0.00391778450506,0.951813771102,9.285,0.631012678161,SM-runs,0.951813771102,0.966815603903,0.954157352083,-0.05,0.8
1,10,5,0.0356,0.0103846039886,0.0108867760453,0.990325333626,12.3701,0.242928158104,SM-runs,0.990325333626,0.985121237037,0.989448779374,0.1,0.3
1,10,5,0.0238,0.00545527267879,0.00424349953977,0.953514410552,9.4142,0.504802496032,SM-runs,0.953514410552,0.9632305428,0.955074858999,0.1,0.8
1,10,5,0.0307,0.0141354165131,0.00953853576201,0.992464525508,12.3529,0.274456717899,SM-runs,0.992464525508,0.987093735314,0.991559383931,-0.1,0.3
1,10,5,0.0184,0.00745922247959,0.00310510731345,0.954486814071,9.2102,0.543852516773,SM-runs,0.954486814071,0.971184722821,0.957141923465,-0.1,0.8
1,10,5,0.0291,0.00810493676718,0.00933798665027,0.995004855026,12.1791,0.209351594214,SM-runs,0.995004855026,0.98730064257,0.993708495638,random,0.3
1,10,5,0.023,0.00813633824272,0.00410291370611,0.953887287395,9.5041,0.502113821758,SM-runs,0.953887287395,0.961954496804,0.955198671859,random,0.8
