Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta,M
9,5,5,0.0473,0.0157229132161,0.0277111687316,0.992351305995,6.8502,0.0939050584367,SM-runs,0.992351305995,0.988008110276,0.991619911512,gt,0.3,3
9,5,5,0.054,0.013084341787,0.0316189858281,0.994151132931,6.9097,0.0678218991182,SM-runs,0.994151132931,0.985513296194,0.992697147506,gt,0.3,5
9,5,5,0.0523,0.02248577328,0.030138375565,0.993715267167,6.8762,0.11546930328,SM-runs,0.993715267167,0.986054291709,0.992422372227,gt,0.3,100
10,5,5,0.5981,0.195456619228,0.00165662115597,0.144790934798,4.6922,1.77460039446,SM-runs,0.144790934798,0.991438498075,0.153366977915,-10,0.3,3
10,5,5,0.0082,0.0048538644398,0.00290045140045,0.99466548394,9.6091,0.150599767596,SM-runs,0.99466548394,0.998695432036,0.995331345973,-10,0.3,5
10,5,5,0.0088,0.00534415568635,0.00433173363952,0.996620627464,9.7675,0.314078095384,SM-runs,0.996620627464,0.998137258919,0.996871519591,-10,0.3,100
10,5,5,0.0496,0.0197595546509,0.0278942131683,0.991158994907,6.5257,0.140343186511,SM-runs,0.991158994907,0.987428258331,0.990528044542,gt,0.3,3
10,5,5,0.0536,0.0188531164533,0.0316004474726,0.992679257036,6.6625,0.200085106892,SM-runs,0.992679257036,0.986106841374,0.991570841655,gt,0.3,5
10,5,5,0.0509,0.0106437775249,0.02996227053,0.991554388453,6.6655,0.15303806716,SM-runs,0.991554388453,0.987184990425,0.99082098731,gt,0.3,100
1,5,5,0.2039,0.0472386494303,0.122367959248,0.979141414268,13.6168,0.488710302736,SM-runs,0.979141414268,0.946985431774,0.973607194677,10,0.3,3
1,5,5,0.2261,0.0333809826099,0.139488005583,0.981868846237,13.5552,0.274401093292,SM-runs,0.981868846237,0.941046649659,0.97480452063,10,0.3,5
1,5,5,0.1978,0.0364219713909,0.120547883121,0.982942612267,13.4666,0.312370357108,SM-runs,0.982942612267,0.948141298058,0.976950653158,10,0.3,100
2,5,5,0.3185,0.0515407605687,0.201182470177,0.984172383851,8.0609,0.181113472718,SM-runs,0.984172383851,0.917499927954,0.972364900601,10,0.3,3
2,5,5,0.311,0.0496689037528,0.197825640912,0.984317811019,7.9667,0.161243325443,SM-runs,0.984317811019,0.919648233652,0.972873537363,10,0.3,5
2,5,5,0.3068,0.043452963075,0.185249993841,0.984128650067,8.1228,0.245853533633,SM-runs,0.984128650067,0.918872705478,0.972586630522,10,0.3,100
3,5,5,0.2485,0.0401403786729,0.150724296061,0.979662665885,6.68,0.106591744521,SM-runs,0.979662665885,0.935064834611,0.971913951563,10,0.3,3
3,5,5,0.2595,0.0499584827632,0.157600053722,0.978961508156,6.7496,0.150676607342,SM-runs,0.978961508156,0.932361208479,0.970842090786,10,0.3,5
3,5,5,0.2473,0.0278030573858,0.152221620004,0.980786656344,6.6573,0.173503342907,SM-runs,0.980786656344,0.935524733437,0.972926699497,10,0.3,100
4,5,5,0.5335,0.0873123702576,0.335108970289,0.974851359198,4.7744,0.0565565204022,SM-runs,0.974851359198,0.867688902513,0.955070902535,10,0.3,3
4,5,5,0.495,0.0618271784897,0.311229137057,0.977608706318,4.7885,0.0741717601247,SM-runs,0.977608706318,0.875920388552,0.959024410269,10,0.3,5
4,5,5,0.4474,0.0562053378248,0.280291028894,0.980571538367,4.7314,0.0808296975127,SM-runs,0.980571538367,0.886395900561,0.963468254107,10,0.3,100
5,5,5,0.4235,0.0713501927117,0.270791145059,0.982789867866,4.6576,0.0527260846261,SM-runs,0.982789867866,0.892845665651,0.966510564006,10,0.3,3
5,5,5,0.4429,0.0698490515326,0.271593263693,0.979025162212,4.6787,0.0527163162598,SM-runs,0.979025162212,0.88673048227,0.962252334263,10,0.3,5
5,5,5,0.4132,0.0555045944044,0.254112798328,0.980740262771,4.7034,0.0759844720979,SM-runs,0.980740262771,0.893694874951,0.965050488093,10,0.3,100
6,5,5,0.3453,0.044940071206,0.214995944735,0.984303439385,4.7306,0.0544962384023,SM-runs,0.984303439385,0.910280671276,0.971118665849,10,0.3,3
6,5,5,0.383,0.0417660148925,0.238681237837,0.983263909098,4.7204,0.0725550825236,SM-runs,0.983263909098,0.901118794149,0.968527131916,10,0.3,5
6,5,5,0.3743,0.0510647628018,0.240391426475,0.981668267468,4.6542,0.044226236557,SM-runs,0.981668267468,0.904797523082,0.967942490542,10,0.3,100
7,5,5,0.35,0.0641825521462,0.216350510864,0.983243253388,4.7194,0.0751733995506,SM-runs,0.983243253388,0.909107911956,0.970012479559,10,0.3,3
7,5,5,0.3406,0.0513462754248,0.213946549859,0.98466370767,4.7172,0.0492235715892,SM-runs,0.98466370767,0.911677263764,0.971677442799,10,0.3,5
7,5,5,0.3194,0.0463232123238,0.200414900296,0.987117013193,4.7147,0.0573899817041,SM-runs,0.987117013193,0.916558528567,0.974585858992,10,0.3,100
8,5,5,0.3331,0.0443924543138,0.212022159517,0.989116034194,4.6953,0.0657100448942,SM-runs,0.989116034194,0.913315398519,0.975587480431,10,0.3,3
8,5,5,0.3102,0.0435380293537,0.193763540662,0.985239411824,4.7328,0.0620577150723,SM-runs,0.985239411824,0.91897140226,0.973517552303,10,0.3,5
8,5,5,0.3302,0.0375893601967,0.210150580828,0.988179144864,4.7021,0.0578834173145,SM-runs,0.988179144864,0.914077721067,0.974990116377,10,0.3,100
9,5,5,0.3132,0.0270177719289,0.197184256703,0.986691922883,4.7369,0.0517734487938,SM-runs,0.986691922883,0.918210025972,0.974562433113,10,0.3,3
9,5,5,0.3095,0.0445044941551,0.193239281306,0.988399503766,4.7206,0.0708564746512,SM-runs,0.988399503766,0.918545842177,0.97600388939,10,0.3,5
9,5,5,0.2885,0.0550095446264,0.179078963631,0.987670951181,4.7659,0.0596497275769,SM-runs,0.987670951181,0.92389331112,0.976401207182,10,0.3,100
10,5,5,0.2901,0.0406827973473,0.182173482604,0.98752521223,4.7582,0.0675185900327,SM-runs,0.98752521223,0.923819550813,0.976290322615,10,0.3,3
10,5,5,0.3112,0.0547518036233,0.191411054463,0.985888293247,4.783,0.0674269975603,SM-runs,0.985888293247,0.918139890306,0.973872903694,10,0.3,5
10,5,5,0.2647,0.0502574372606,0.166470807593,0.98884691058,4.7373,0.0661710661845,SM-runs,0.98884691058,0.930124617623,0.978527832626,10,0.3,100
