Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
2,3,5,0.369,0.041,0.731666666667,6.6,0.5015625,0.96931874927,0.544721603279,0.0631334551258,Baseline
2,3,5,0.4122,0.0483855350286,0.731666666667,6.4548,0.4340625,0.964258060235,0.476837712819,0.0761874228027,M-runs
2,3,5,0.3572,0.0608289404807,0.674695658808,7.03868,0.52,0.969687978265,0.562002412671,0.094352271572,SM-runs
2,5,5,0.2734,0.044344559982,0.839,11.0,0.5728125,1.0,0.615887203436,0.067137689518,Baseline
2,5,5,0.329,0.0456618002273,0.839,10.7481,0.4859375,1.0,0.530549160282,0.0710041154739,M-runs
2,5,5,0.3852,0.111879220591,0.717263837948,8.81364,0.398125,1.0,0.436620376892,0.18209923487,SM-runs
3,3,5,0.33,0.03577708764,0.806666666667,6.9,0.5625,0.972718898778,0.604501376481,0.0539535430655,Baseline
3,3,5,0.3814,0.0469045839977,0.806666666667,6.73923,0.465,0.974148195731,0.508598110417,0.0659340825571,M-runs
3,3,5,0.3734,0.0924685892614,0.719235573788,7.67625,0.4775,0.970464782284,0.518581850881,0.13644246208,SM-runs
3,5,5,0.245,0.0388458491991,0.884,11.5,0.6171875,1.0,0.658624241805,0.0578190479681,Baseline
3,5,5,0.303,0.0464004310325,0.884,11.21825,0.5265625,1.0,0.570733146354,0.0714897155746,M-runs
3,5,5,0.3776,0.105878420842,0.743938010208,9.32282,0.41,1.0,0.44943257059,0.172777521915,SM-runs
4,3,5,0.3882,0.0431597034281,0.853333333333,7.2,0.4715625,0.967283287091,0.514804596972,0.0674140183111,Baseline
4,3,5,0.4602,0.0503384544856,0.853333333333,7.03728,0.2996875,0.987213307161,0.338126860647,0.0726356150572,M-runs
4,3,5,0.4836,0.0690147810255,0.733461126116,6.90384,0.263125,0.986191639044,0.297369710381,0.115779300708,SM-runs
4,5,5,0.3132,0.0394177624936,0.912,12.0,0.510625,1.0,0.555290996795,0.0608855786282,Baseline
4,5,5,0.416,0.0469041575982,0.912,11.7096,0.35,1.0,0.391480574171,0.0761320964844,M-runs
4,5,5,0.5286,0.0642186888686,0.809713153547,7.8396,0.1740625,1.0,0.199729168812,0.109287083566,SM-runs
5,3,5,0.3954,0.0403093041369,0.865,7.5,0.4603125,0.966558032996,0.503637349673,0.0633302100379,Baseline
5,3,5,0.4496,0.0474113910363,0.865,7.329,0.2975,1.0,0.335844603287,0.0791535900811,M-runs
5,3,5,0.527,0.0685930025586,0.763443956209,5.945,0.1765625,1.0,0.202205813782,0.117998688219,SM-runs
5,5,5,0.3186,0.0378951184191,0.919,12.5,0.5021875,1.0,0.546987180498,0.0591039267049,Baseline
5,5,5,0.4216,0.0343720816943,0.919,12.20125,0.34125,1.0,0.382769418071,0.0564748074789,M-runs
5,5,5,0.5394,0.0479754103682,0.82643886031,7.94875,0.1571875,1.0,0.181667960867,0.0831158708199,SM-runs
