Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta
1,3,5,0.1071,0.025598632776,0.0625851680977,0.989586627149,16.2142,0.516461770124,SM-runs,0.989586627149,0.971177161366,0.986460707756,0.05,0.3
1,3,5,0.2647,0.0446543390949,0.06459344964,0.983099221748,25.6403,0.574842595847,SM-runs,0.983099221748,0.782281430892,0.942590764508,0.05,0.8
1,3,5,0.551,0.25048033855,0.0177247111987,0.236349730185,8.8423,6.91946028314,SM-runs,0.236349730185,0.89521961287,0.243283476689,-0.05,0.3
1,3,5,0.2526,0.0172696265159,0.0166100311079,0.0419915973715,5.4235,0.0120519707932,SM-runs,0.0419915973715,0.38228567861,0.0492585084196,-0.05,0.8
1,3,5,0.2215,0.0485206141758,0.136209296014,0.980650118079,13.0246,0.419775940235,SM-runs,0.980650118079,0.942509168872,0.974052633696,0.1,0.3
1,3,5,0.5332,0.0641884724853,0.13109549003,0.978182649217,20.4885,0.518659088419,SM-runs,0.978182649217,0.64135862633,0.898910841052,0.1,0.8
1,3,5,0.6939,0.0184740358341,0.0189126586129,0.0442666869718,5.3965,0.0155,SM-runs,0.0442666869718,0.842099684824,0.0525641876709,-0.1,0.3
1,3,5,0.2315,0.0572996509588,0.0165798743989,0.135288885081,9.5346,12.2938130147,SM-runs,0.135288885081,0.427346202888,0.140740141608,-0.1,0.8
1,3,5,0.3419,0.301953787855,0.0436627286276,0.611720110016,13.5771,6.94641462123,SM-runs,0.611720110016,0.911061671186,0.613053287835,random,0.3
1,3,5,0.2473,0.139510608916,0.0507532380552,0.797950371882,27.3874,12.3240813142,SM-runs,0.797950371882,0.729605152142,0.77070594076,random,0.8
1,3,5,0.1534,0.0650341448779,0.0942418672682,0.982246748793,14.0837,2.73992306644,SM-runs,0.982246748793,0.960800484157,0.97857516854,None,0.3
1,3,5,0.3174,0.0359032031997,0.0778880440624,0.982507417213,25.5451,1.11458175564,SM-runs,0.982507417213,0.751790972832,0.934574140875,None,0.8
1,5,5,0.1022,0.0297818736818,0.0582802327862,0.983798976923,17.0825,0.753997911138,SM-runs,0.983798976923,0.973837058524,0.982114110091,0.05,0.3
1,5,5,0.263,0.0663957829986,0.0639073589915,0.976546725126,25.7048,0.648452126221,SM-runs,0.976546725126,0.784412548507,0.937847390571,0.05,0.8
1,5,5,0.6785,0.00792779919019,0.00916631330634,0.0471577849048,5.797,0.0179164728672,SM-runs,0.0471577849048,0.920721652917,0.0560094757734,-0.05,0.3
1,5,5,0.2241,0.020186381548,0.0095751196872,0.0518113218341,5.814,0.0135646599663,SM-runs,0.0518113218341,0.571034637877,0.0610225749907,-0.05,0.8
1,5,5,0.2195,0.0383907540952,0.136438375891,0.98068458844,13.5614,0.501615829096,SM-runs,0.98068458844,0.943281409118,0.974226569259,0.1,0.3
1,5,5,0.5377,0.0708266192896,0.133184107499,0.974003194759,20.6899,0.440770563899,SM-runs,0.974003194759,0.647290367658,0.898075288008,0.1,0.8
1,5,5,0.6754,0.0154025971836,0.0112372215959,0.0474693550802,5.7935,0.0176139149538,SM-runs,0.0474693550802,0.900963427484,0.0563650082958,-0.1,0.3
1,5,5,0.2299,0.0248171311799,0.0125422373715,0.0461917625865,5.817,0.0208806130178,SM-runs,0.0461917625865,0.473548207689,0.0543426720871,-0.1,0.8
1,5,5,0.3268,0.270803545028,0.0437770539497,0.614358971307,13.2853,6.51344500322,SM-runs,0.614358971307,0.946797053612,0.61635519492,random,0.3
1,5,5,0.2473,0.11366094316,0.0472403749165,0.707768219557,24.0997,13.149936274,SM-runs,0.707768219557,0.711193967768,0.682432116194,random,0.8
