Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta
2,5,5,0.42374,0.025080518336,0.011743226169,0.411604896718,4.80472,0.481187574237,SM-runs,0.411604896718,0.987299574655,0.421008270969,-10,0.3
2,5,5,0.20872,0.0460873258066,0.119591136782,0.966493283023,12.0388,0.424736577186,SM-runs,0.966493283023,0.9472732806,0.965728890044,10,0.3
2,5,5,0.1413,0.0315184073202,0.036202974097,0.876201076404,10.84142,0.698153739229,SM-runs,0.876201076404,0.982019536116,0.879744729425,gt,0.3
3,5,5,0.39578,0.029634635142,0.00904669754194,0.447550535712,5.00598,0.541374306372,SM-runs,0.447550535712,0.990986999819,0.45713669449,-10,0.3
3,5,5,0.16918,0.0552744751219,0.102226650406,0.982110471674,10.49668,0.563463767779,SM-runs,0.982110471674,0.956119080538,0.981076685115,10,0.3
3,5,5,0.09722,0.0276978627334,0.0438656998351,0.957965652265,11.0044,0.608859064152,SM-runs,0.957965652265,0.979753816549,0.958775263767,gt,0.3
4,5,5,0.2046,0.0931903428473,0.0088211404053,0.722297286884,7.30462,1.29385334393,SM-runs,0.722297286884,0.994668976058,0.729216783911,-10,0.3
4,5,5,0.1406,0.0354350109355,0.0851821092064,0.985536818783,9.0451,0.260924529318,SM-runs,0.985536818783,0.963226914827,0.984654485826,10,0.3
4,5,5,0.07568,0.0220476211869,0.0411221599484,0.982348050045,10.37688,0.322027864633,SM-runs,0.982348050045,0.981655740993,0.982317723549,gt,0.3
5,5,5,0.0758,0.0503018886325,0.00927162847184,0.910744686212,9.12064,0.593624317561,SM-runs,0.910744686212,0.995418322823,0.913545595145,-10,0.3
5,5,5,0.17698,0.0403432720537,0.108880759703,0.988587157877,8.39732,0.351739360322,SM-runs,0.988587157877,0.952772695994,0.987153883971,10,0.3
5,5,5,0.05614,0.0194412036664,0.0316530213411,0.989925982862,10.07786,0.282840309008,SM-runs,0.989925982862,0.985792904947,0.989764698343,gt,0.3
6,5,5,0.04244,0.0459665791636,0.00662053275923,0.953487196905,9.09772,0.468645923486,SM-runs,0.953487196905,0.996887357648,0.954920596755,-10,0.3
6,5,5,0.13916,0.0403337873253,0.0870668141399,0.991265998788,7.9423,0.272464768365,SM-runs,0.991265998788,0.962839193897,0.990135827699,10,0.3
6,5,5,0.0619,0.0417426640261,0.0370976893379,0.991797297131,9.57036,0.436244415895,SM-runs,0.991797297131,0.984097501946,0.991494433761,gt,0.3
7,5,5,0.0284,0.0147715943622,0.00657115969097,0.973597505372,9.02516,0.363811124624,SM-runs,0.973597505372,0.997008232198,0.97446633322,-10,0.3
7,5,5,0.15778,0.140336921728,0.0964957805655,0.987540286106,7.42128,0.499478529669,SM-runs,0.987540286106,0.959495302422,0.986371412238,10,0.3
7,5,5,0.07162,0.0475537127888,0.0427018505684,0.99242616671,9.04956,0.384391631543,SM-runs,0.99242616671,0.981101084244,0.991978240138,gt,0.3
8,5,5,0.0193,0.00698641538988,0.00493914058711,0.983077798028,9.25078,0.311694612722,SM-runs,0.983077798028,0.997775885453,0.983633153397,-10,0.3
8,5,5,0.1016,0.0273049446072,0.0584574291382,0.984859748622,6.94718,0.254933221844,SM-runs,0.984859748622,0.973851210666,0.984422708417,10,0.3
8,5,5,0.03974,0.0133713275332,0.0226241583743,0.993019915214,8.42278,0.289791807338,SM-runs,0.993019915214,0.989936870425,0.99289996786,gt,0.3
9,5,5,0.01584,0.00833393064526,0.00347177501211,0.984740554855,9.10032,0.375909640206,SM-runs,0.984740554855,0.998457148448,0.985257097494,-10,0.3
9,5,5,0.10938,0.0227928848547,0.0658967837189,0.98970589141,7.03912,0.178925195543,SM-runs,0.98970589141,0.97088023307,0.98896587512,10,0.3
9,5,5,0.0378,0.0180277563773,0.0214351017126,0.993492387673,8.18818,0.283228154674,SM-runs,0.993492387673,0.990380702733,0.993370946617,gt,0.3
10,5,5,0.0186,0.0103595366692,0.00478426635852,0.983642732268,8.92854,0.3463317606,SM-runs,0.983642732268,0.997868330559,0.984176449769,-10,0.3
10,5,5,0.09648,0.0239534882637,0.0571702104974,0.989450674231,6.95384,0.213216355845,SM-runs,0.989450674231,0.974481372061,0.988863135104,10,0.3
10,5,5,0.03082,0.0127054161679,0.0171100691253,0.993476432113,8.05582,0.217017021452,SM-runs,0.993476432113,0.992416382621,0.993434864792,gt,0.3
