Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
2,3,5,0.1728,0.0351590671094,0.724444444444,9.9,0.863764705882,0.984691525827,0.881646138281,0.0297695145619,Baseline
2,3,5,0.219,0.046357307946,0.724444444444,7.0488,0.841176470588,0.976974724665,0.860850148099,0.0388023469115,M-runs
2,3,5,0.1446,0.0288589674105,0.608980009663,8.25968,0.928705882353,0.979211853169,0.936646401844,0.022617255881,SM-runs
2,5,5,0.0824,0.0233717778528,0.832,16.5,0.903058823529,1.0,0.917778865895,0.0236512227507,Baseline
2,5,5,0.1066,0.0321627113285,0.832,11.6732,0.874588235294,1.0,0.893047179638,0.032902906108,M-runs
2,5,5,0.0656,0.0278682615174,0.67852509938,11.45936,0.922823529412,1.0,0.934692888245,0.028065598887,SM-runs
3,3,5,0.1144,0.0294047615192,0.785555555556,10.35,0.870117647059,0.998953382321,0.889060456685,0.0289756619864,Baseline
3,3,5,0.1864,0.0520292225581,0.785555555556,7.72041,0.813647058824,0.992003499753,0.838319016489,0.0487180170426,M-runs
3,3,5,0.0946,0.032137828178,0.672063494625,8.65007,0.921647058824,0.992987716533,0.932650526424,0.0272906354626,SM-runs
3,5,5,0.0786,0.0215415876852,0.870666666667,17.25,0.907529411765,1.0,0.921641664631,0.0217509914952,Baseline
3,5,5,0.1164,0.0263636112853,0.870666666667,12.55225,0.863058823529,1.0,0.883073680978,0.0270833744909,M-runs
3,5,5,0.0792,0.0215257984753,0.71806750736,11.8864,0.906823529412,1.0,0.921034361182,0.0218662634192,SM-runs
4,3,5,0.1206,0.0383880189643,0.827777777778,10.8,0.859294117647,0.999718309859,0.879612614522,0.0381276056883,Baseline
4,3,5,0.2162,0.0564938934753,0.827777777778,8.22312,0.772705882353,0.993155659441,0.801721155349,0.0579594684837,M-runs
4,3,5,0.1506,0.0672431409141,0.705324192087,10.15656,0.849882352941,0.993808458794,0.869909822564,0.0705425415963,SM-runs
4,5,5,0.0776,0.0232,0.896,18.0,0.908705882353,1.0,0.922637697397,0.0234672383928,Baseline
4,5,5,0.1318,0.0305083595101,0.896,13.2936,0.844941176471,1.0,0.867163304362,0.0314436073535,M-runs
4,5,5,0.165,0.119920807202,0.732048153044,13.44456,0.805882352941,1.0,0.829609635521,0.132488976573,SM-runs
5,3,5,0.1212,0.0321645767888,0.886666666667,11.25,0.857411764706,1.0,0.878069774944,0.0331494361116,Baseline
5,3,5,0.2048,0.0435541042842,0.886666666667,8.625,0.759058823529,1.0,0.790403580198,0.046299151409,M-runs
5,3,5,0.1928,0.102587328652,0.753882799837,10.232,0.773176470588,1.0,0.801162116468,0.114508392449,SM-runs
5,5,5,0.0874,0.0268931217972,0.932,18.75,0.897176470588,1.0,0.912672939294,0.0273544562526,Baseline
5,5,5,0.1532,0.0313330496441,0.932,14.07125,0.819764705882,1.0,0.844945718187,0.0326354043631,M-runs
5,5,5,0.2166,0.122598694936,0.771311614192,13.543,0.745176470588,1.0,0.774782867408,0.137306957038,SM-runs
