Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
2,3,5,0.89096,0.0563999858156,0.494632251246,0.826679022381,12.0,0.0,Baseline,0.826679022381,0.786599910282,0.819658071986
2,3,5,0.6718,0.0608335433786,0.325046667433,0.761206664386,9.0,0.0,M-runs,0.761206664386,0.838041877953,0.772862975881
2,3,5,0.39398,0.069199852601,0.123723265554,0.708562712006,10.28,1.92914488829,SM-runs,0.708562712006,0.929204004012,0.736423003559
2,5,5,0.73252,0.056352902321,0.396418207059,0.831469880621,21.0,0.0,Baseline,0.831469880621,0.82296277144,0.829992430025
2,5,5,0.57094,0.0498547530332,0.278397840194,0.798341968497,15.82,0.384187454246,M-runs,0.798341968497,0.864494381897,0.808588780522
2,5,5,0.3465,0.047109765442,0.0643965481806,0.642368490633,8.64,1.57175061635,SM-runs,0.642368490633,0.958068180019,0.678970763073
2,10,5,0.63598,0.0537652266804,0.344838375952,0.85495961141,42.0,0.0,Baseline,0.85495961141,0.846091551138,0.853420236585
2,10,5,0.53262,0.0456998424505,0.268436462048,0.833048297232,32.62,0.524976189936,M-runs,0.833048297232,0.873082119044,0.83939368822
2,10,5,0.33278,0.0436459803418,0.0422785898994,0.612788189325,8.88,1.45106857178,SM-runs,0.612788189325,0.970322536059,0.651949880298
3,3,5,0.8244,0.0552043476549,0.460170686309,0.830998198518,12.0,0.0,Baseline,0.830998198518,0.802665668486,0.826068281856
3,3,5,0.6302,0.0558146934059,0.307867342505,0.773300818728,9.12,0.324961536185,M-runs,0.773300818728,0.850113803746,0.784986806406
3,3,5,0.37486,0.0770057166709,0.126351490977,0.739075422623,10.08,1.48108068653,SM-runs,0.739075422623,0.931881546561,0.764692191779
3,5,5,0.69348,0.0600776963606,0.377856633793,0.83547884491,21.0,0.0,Baseline,0.83547884491,0.833354126372,0.835041225993
3,5,5,0.53796,0.0533999850187,0.260242876699,0.79965925143,16.1,0.3,M-runs,0.79965925143,0.874296309252,0.811116203578
3,5,5,0.30444,0.0343244286187,0.0497835698826,0.670278140082,8.18,0.909725233244,SM-runs,0.670278140082,0.969206946626,0.706304474861
3,10,5,0.62194,0.0499513403224,0.339067393986,0.858135286154,43.0,0.0,Baseline,0.858135286154,0.849881074407,0.856682915788
3,10,5,0.51346,0.0391909224183,0.257781741373,0.833029837892,33.5,0.5,M-runs,0.833029837892,0.87849868844,0.840219454334
3,10,5,0.29562,0.0347026742485,0.0414540476457,0.664614670694,9.26,0.687313611098,SM-runs,0.664614670694,0.973120131044,0.701501982509
4,3,5,0.79188,0.0539846793081,0.437439816964,0.83120674108,13.0,0.0,Baseline,0.83120674108,0.809697406119,0.82748516928
4,3,5,0.59274,0.0554075121261,0.28637908613,0.781721139251,9.9,0.3,M-runs,0.781721139251,0.859646859593,0.79359185103
4,3,5,0.36194,0.063055978305,0.122382290208,0.74945272983,9.94,1.58,SM-runs,0.74945272983,0.933995724185,0.774314348897
4,5,5,0.6757,0.0460904545432,0.368750400553,0.839845965977,22.0,0.0,Baseline,0.839845965977,0.837618035299,0.839431637148
4,5,5,0.52192,0.0465814727118,0.248258111392,0.79578237379,16.9,0.3,M-runs,0.79578237379,0.879047245827,0.808458004372
4,5,5,0.30506,0.0374317565711,0.0618608918271,0.69637068606,8.6,1.32664991614,SM-runs,0.69637068606,0.963273407181,0.729772597794
4,10,5,0.61634,0.0494556811701,0.334568144821,0.859344859873,44.0,0.0,Baseline,0.859344859873,0.850948103541,0.857872110294
4,10,5,0.52102,0.0429238814648,0.26051901797,0.830080227611,34.6,0.489897948557,M-runs,0.830080227611,0.876486913083,0.837416744405
4,10,5,0.29078,0.0312213324507,0.0437958464571,0.676436029055,9.02,0.315594676761,SM-runs,0.676436029055,0.972100643367,0.712474064505
5,3,5,0.78276,0.0473690025227,0.430703970696,0.832905915119,13.0,0.0,Baseline,0.832905915119,0.811609750546,0.829200600622
5,3,5,0.56742,0.061887669208,0.269152520935,0.781745960956,10.0,0.0,M-runs,0.781745960956,0.866550357214,0.794581788294
5,3,5,0.35162,0.0854507788145,0.109147106026,0.73636813097,9.36,1.53310143174,SM-runs,0.73636813097,0.940029040199,0.763180340572
5,5,5,0.67104,0.0487097361931,0.366184041949,0.842333785554,22.0,0.0,Baseline,0.842333785554,0.838725420638,0.841678083273
5,5,5,0.5035,0.0421489027141,0.237716369958,0.799285044344,17.04,0.195959179423,M-runs,0.799285044344,0.883913849027,0.812173809392
5,5,5,0.28666,0.0296732943907,0.0508972725034,0.698957916651,8.16,1.18928549979,SM-runs,0.698957916651,0.969736420825,0.732722015482
5,10,5,0.61582,0.0452776722016,0.336994990814,0.863497417336,45.0,0.0,Baseline,0.863497417336,0.851094277769,0.861364309834
5,10,5,0.5069,0.0378403224088,0.251327688987,0.829475831656,35.22,0.501597448159,M-runs,0.829475831656,0.880333206314,0.837499185795
5,10,5,0.27746,0.0204031468161,0.0361026735257,0.679115771423,8.54,0.498397431775,SM-runs,0.679115771423,0.976650215409,0.71538757861
6,3,5,0.75612,0.0520417678408,0.418201011573,0.83647990133,13.0,0.0,Baseline,0.83647990133,0.818343027545,0.833357137395
6,3,5,0.54942,0.0511069819105,0.261071839424,0.78526657194,10.0,0.0,M-runs,0.78526657194,0.871721974961,0.798377778063
6,3,5,0.3669,0.0634174266271,0.135972200453,0.770794127636,10.08,1.4260434776,SM-runs,0.770794127636,0.929368131519,0.792763474048
