Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
2,3,5,0.72032,0.0459005185156,0.424051802369,0.841088146933,9.0,0.0,Baseline,0.841088146933,0.831745776228,0.839467263197
2,3,5,0.64202,0.0452440007073,0.339303951636,0.781460005185,6.78,0.414246303544,M-runs,0.781460005185,0.851637182092,0.792266644126
2,3,5,0.19496,0.0315328146539,0.0805589881827,0.888006760667,7.96,1.09471457467,SM-runs,0.888006760667,0.965225860692,0.899872645835
2,5,5,0.56898,0.0434324717234,0.334083059935,0.868310618066,16.0,0.0,Baseline,0.868310618066,0.867494291123,0.868127523935
2,5,5,0.5155,0.0441897046833,0.28081557527,0.83734858135,11.0,0.0,M-runs,0.83734858135,0.882436637859,0.844506478652
2,5,5,0.16198,0.0245751826036,0.0387184154969,0.85012448714,6.78,0.756042326857,SM-runs,0.85012448714,0.98242850184,0.869519149883
2,10,5,0.36768,0.0457407651882,0.224151905205,0.928753730948,32.0,0.0,Baseline,0.928753730948,0.913322835704,0.926108301761
2,10,5,0.3527,0.0369882413748,0.2104032967,0.922380226799,21.72,0.448998886413,M-runs,0.922380226799,0.917643290732,0.921559282391
2,10,5,0.15692,0.0172462633634,0.0317308826846,0.843723659973,7.14,0.529528091795,SM-runs,0.843723659973,0.985496426853,0.864397001852
3,3,5,0.71868,0.0551011578826,0.428468753526,0.837857654025,9.0,0.0,Baseline,0.837857654025,0.833444570604,0.837045734247
3,3,5,0.63056,0.0410220233533,0.338538993908,0.783966628538,6.98,0.14,M-runs,0.783966628538,0.855771962234,0.79499999992
3,3,5,0.18824,0.0362124619434,0.0737769257947,0.882840139205,7.74,0.912359578237,SM-runs,0.882840139205,0.968669116724,0.895864118649
3,5,5,0.56488,0.0372851927714,0.331650838478,0.870156158385,16.0,0.0,Baseline,0.870156158385,0.868269087956,0.869796356451
3,5,5,0.51848,0.0327220048286,0.285624791922,0.843312430481,11.24,0.427083130081,M-runs,0.843312430481,0.881270355798,0.84935349276
3,5,5,0.16066,0.0217233606976,0.0391856462075,0.853521769024,7.04,0.915641851381,SM-runs,0.853521769024,0.982054181897,0.872475010977
3,10,5,0.37884,0.0390662821369,0.23458774918,0.928472327667,33.0,0.0,Baseline,0.928472327667,0.910889463288,0.925471463546
3,10,5,0.34196,0.0365753796973,0.206116599783,0.924421008497,22.16,0.366606055596,M-runs,0.924421008497,0.920571206675,0.923751540179
3,10,5,0.15552,0.0181397243639,0.0298379656991,0.842107521024,7.18,0.589576118919,SM-runs,0.842107521024,0.986470749179,0.863115822052
4,3,5,0.70566,0.0450602308028,0.420522282642,0.840282212251,10.0,0.0,Baseline,0.840282212251,0.836407702012,0.839586768391
4,3,5,0.63378,0.0429009510384,0.341235438018,0.784840378984,7.0,0.0,M-runs,0.784840378984,0.854887078528,0.795637313525
4,3,5,0.1964,0.0490057139526,0.0843590106943,0.89267035279,7.9,1.06301458127,SM-runs,0.89267035279,0.964454676212,0.903748808117
4,5,5,0.56526,0.038570356493,0.334189038587,0.868962527108,17.0,0.0,Baseline,0.868962527108,0.868744499104,0.868893340496
4,5,5,0.50876,0.0385919991708,0.280319639765,0.842081672825,11.86,0.346987031458,M-runs,0.842081672825,0.884310325054,0.84878846195
4,5,5,0.16422,0.0233069002658,0.0427834333154,0.85520737955,7.04,0.847584804017,SM-runs,0.85520737955,0.980858084468,0.873763401764
4,10,5,0.38328,0.0388237247054,0.233722103565,0.926642103141,34.0,0.0,Baseline,0.926642103141,0.909431438096,0.923701486023
4,10,5,0.35754,0.0387309746844,0.212850860468,0.92123626272,23.02,0.244131112315,M-runs,0.92123626272,0.916464002743,0.920398689134
4,10,5,0.16122,0.0192710041254,0.0318145412777,0.837609133506,7.34,0.473708771293,SM-runs,0.837609133506,0.985379868766,0.859022911949
5,3,5,0.71448,0.0528398485993,0.425554003709,0.843701136337,10.0,0.0,Baseline,0.843701136337,0.833902423205,0.842000533243
5,3,5,0.63316,0.0500001439998,0.337761148202,0.78352505979,7.0,0.0,M-runs,0.78352505979,0.854657826893,0.794455141242
5,3,5,0.18982,0.0432336396802,0.0782926388571,0.888951423711,7.86,1.09562767398,SM-runs,0.888951423711,0.967066828001,0.900896843477
5,5,5,0.57152,0.039835280845,0.341889711521,0.870930411194,17.0,0.0,Baseline,0.870930411194,0.86755479751,0.870321009484
5,5,5,0.51006,0.0386116096531,0.283172627248,0.842704065406,12.0,0.0,M-runs,0.842704065406,0.884326577362,0.849320159585
5,5,5,0.16882,0.0202234418436,0.0447941295189,0.852476034758,6.92,0.844748483278,SM-runs,0.852476034758,0.980150281637,0.871305035602
5,10,5,0.37298,0.0349156068256,0.22935029033,0.929004957106,35.0,0.0,Baseline,0.929004957106,0.912154433701,0.926117747249
5,10,5,0.3576,0.0339970586963,0.214747104462,0.922011773845,23.84,0.417612260356,M-runs,0.922011773845,0.916647030392,0.921083442896
5,10,5,0.16018,0.0190049362009,0.0315718091934,0.838734933469,7.26,0.521919534028,SM-runs,0.838734933469,0.985638468596,0.860043959533
6,3,5,0.71788,0.0435452132846,0.428320420244,0.840456730684,10.0,0.0,Baseline,0.840456730684,0.833385543321,0.839220402462
6,3,5,0.63378,0.0535205717458,0.33894002526,0.782887409374,7.38,0.48538644398,M-runs,0.782887409374,0.854763978056,0.793941135649
6,3,5,0.19408,0.0393684340557,0.080373478151,0.887686319943,8.12,1.03227903205,SM-runs,0.887686319943,0.966007161416,0.899687244715
6,5,5,0.56612,0.0408125666921,0.334804050364,0.86614525019,18.0,0.0,Baseline,0.86614525019,0.86893361562,0.866565937354
6,5,5,0.5084,0.0377618855461,0.281436144554,0.842803264696,12.3,0.458257569496,M-runs,0.842803264696,0.884599602266,0.849447507943
6,5,5,0.16782,0.0226765870448,0.0429181306139,0.850905582484,6.92,0.844748483278,SM-runs,0.850905582484,0.98065223423,0.870010911568
6,10,5,0.3694,0.0370383584949,0.226929548151,0.930917799403,36.0,0.0,Baseline,0.930917799403,0.912677668595,0.927810748824
6,10,5,0.3579,0.0369828338557,0.21441949195,0.922698697479,24.38,0.48538644398,M-runs,0.922698697479,0.916373763018,0.921609582245
6,10,5,0.15558,0.016932914693,0.0291489985042,0.840556390662,7.54,0.498397431775,SM-runs,0.840556390662,0.986599369494,0.861782016885
7,3,5,0.70288,0.047775156724,0.425553572107,0.842332120819,11.0,0.0,Baseline,0.842332120819,0.838015817824,0.841559799887
7,3,5,0.63398,0.0492436757361,0.342717175748,0.779164219131,7.94,0.237486841741,M-runs,0.779164219131,0.85585076388,0.79089593393
7,3,5,0.18828,0.0336885974775,0.0801593917969,0.893102731961,8.08,0.955824251628,SM-runs,0.893102731961,0.967021712498,0.90447844493
7,5,5,0.5601,0.0451217242578,0.332092420721,0.871506440893,18.0,0.0,Baseline,0.871506440893,0.869949492244,0.871203488325
7,5,5,0.51298,0.0412472980933,0.284205026172,0.843352525335,12.98,0.14,M-runs,0.843352525335,0.883148668275,0.849689543166
7,5,5,0.16564,0.0238845221849,0.0423320176508,0.852776808342,6.94,0.759210115844,SM-runs,0.852776808342,0.980953976755,0.871679744978
7,10,5,0.37636,0.0340515843978,0.22873460848,0.927303083946,37.0,0.0,Baseline,0.927303083946,0.911047104788,0.924528035675
7,10,5,0.35254,0.0391056057363,0.210185221398,0.924387700831,25.12,0.324961536185,M-runs,0.924387700831,0.917297513828,0.923173527877
7,10,5,0.15594,0.0193332977011,0.0291602119715,0.84002099012,7.56,0.49638694584,SM-runs,0.84002099012,0.986460613272,0.861278351502
8,3,5,0.7151,0.0461918824037,0.424010623758,0.84272300796,11.0,0.0,Baseline,0.84272300796,0.833533252692,0.841115578741
8,3,5,0.63796,0.0439440371382,0.338683774861,0.780909274241,8.0,0.0,M-runs,0.780909274241,0.853226688691,0.792011959713
8,3,5,0.18898,0.0418872247827,0.0779038925541,0.890083931614,8.06,1.08461974904,SM-runs,0.890083931614,0.966934933506,0.901853792093
8,5,5,0.57076,0.0515614429589,0.33942384204,0.872989050653,19.0,0.0,Baseline,0.872989050653,0.867230300865,0.871967287351
8,5,5,0.51816,0.0408359449505,0.286742794714,0.842203134615,13.0,0.0,M-runs,0.842203134615,0.881849369425,0.848508433682
8,5,5,0.16532,0.0206295322293,0.0400964788985,0.847889163445,6.9,0.67082039325,SM-runs,0.847889163445,0.981948550196,0.867567230523
8,10,5,0.37584,0.0386069216592,0.227462971646,0.925306146071,38.0,0.0,Baseline,0.925306146071,0.911445412917,0.922940360398
8,10,5,0.36024,0.0368535262899,0.214598461473,0.921369418179,25.96,0.195959179423,M-runs,0.921369418179,0.915737664226,0.920406075246
8,10,5,0.15756,0.0192916147587,0.0293817778903,0.838052758427,7.42,0.49355850717,SM-runs,0.838052758427,0.986434635722,0.859543272924
9,3,5,0.69968,0.0455927362636,0.418974996008,0.846419833816,11.0,0.0,Baseline,0.846419833816,0.83769462184,0.844910399097
9,3,5,0.6434,0.0510282274824,0.346518193232,0.782862535421,8.04,0.195959179423,M-runs,0.782862535421,0.85233963179,0.793557420804
9,3,5,0.18934,0.0387311812368,0.0765920714057,0.886671364154,7.88,0.886340792246,SM-runs,0.886671364154,0.967564534637,0.899059174142
9,5,5,0.56484,0.0478774936687,0.336736781593,0.872785557068,19.0,0.0,Baseline,0.872785557068,0.86883383228,0.872085891127
9,5,5,0.5037,0.0442923243915,0.277666725125,0.842313495726,13.6,0.489897948557,M-runs,0.842313495726,0.885823310938,0.849204584062
9,5,5,0.165,0.0202612931473,0.042173341299,0.85310252158,7.04,0.798999374218,SM-runs,0.85310252158,0.981135779074,0.871970906745
9,10,5,0.37674,0.0336985518977,0.232036565885,0.927117637376,39.0,0.0,Baseline,0.927117637376,0.911542181688,0.924455405964
9,10,5,0.35842,0.0448352941331,0.216507998965,0.921334969515,26.52,0.499599839872,M-runs,0.921334969515,0.916778569808,0.920547144924
9,10,5,0.15694,0.0200283898504,0.0282400592253,0.836977526747,7.5,0.5,SM-runs,0.836977526747,0.987160841124,0.858696615438
10,3,5,0.72182,0.0458967057641,0.424664596816,0.837400866703,12.0,0.0,Baseline,0.837400866703,0.831637097291,0.836383089379
10,3,5,0.6383,0.0442963881146,0.340434008701,0.785830571696,8.16,0.366606055596,M-runs,0.785830571696,0.852612422279,0.796121324847
10,3,5,0.18594,0.0398142738223,0.0781969410961,0.895239002517,8.14,1.09562767398,SM-runs,0.895239002517,0.966795175599,0.906277756746
10,5,5,0.56064,0.044581054272,0.330104713289,0.86940687774,20.0,0.0,Baseline,0.86940687774,0.869671649987,0.86941928936
10,5,5,0.51486,0.0443296785461,0.285122569121,0.8446056665,14.0,0.0,M-runs,0.8446056665,0.882480843172,0.850632790804
10,5,5,0.1719,0.019057019704,0.0454441632737,0.849919707084,6.82,0.683812839891,SM-runs,0.849919707084,0.979413234655,0.868986446269
10,10,5,0.37648,0.0415351610085,0.232351839257,0.928682504091,40.0,0.0,Baseline,0.928682504091,0.911363667072,0.925715788134
10,10,5,0.34838,0.044873105531,0.210188411874,0.925229513057,27.2,0.4,M-runs,0.925229513057,0.918777929489,0.924105096141
10,10,5,0.15186,0.0175077240097,0.0271821237097,0.842104605325,7.54,0.537028863284,SM-runs,0.842104605325,0.98753818924,0.86324115392
