Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta
1,5,5,0.2067,0.0373792723311,0.126647324067,0.981615921212,13.592,0.434084784345,SM-runs,0.981615921212,0.946143621086,0.975501517464,10,0.3
1,5,5,0.507,0.0421924163802,0.124902079916,0.969369808239,20.3936,0.53530611803,SM-runs,0.969369808239,0.656216637704,0.89777303558,10,0.8
1,5,5,0.6747,0.0139143810498,0.00667708916959,0.0486811870515,5.7955,0.0103561575886,SM-runs,0.0486811870515,0.946117714711,0.0578161829189,-10,0.3
1,5,5,0.2343,0.0158559137233,0.010386865764,0.043337088073,5.831,0.0178605710995,SM-runs,0.043337088073,0.510033004012,0.0510581401837,-10,0.8
1,5,5,0.08,0.020059910269,0.0466336114703,0.989774964177,18.7195,0.759572412611,SM-runs,0.989774964177,0.978965738779,0.98795167475,gt,0.3
1,5,5,0.2185,0.0244346066062,0.0534236098943,0.982142275677,30.4136,0.582327261941,SM-runs,0.982142275677,0.816914609664,0.950004390919,gt,0.8
1,5,5,0.1149,0.0414812005612,0.067840674538,0.987036424398,16.9581,2.45881062508,SM-runs,0.987036424398,0.969802767925,0.984100621978,est,0.3
1,5,5,0.2346,0.0493461244679,0.0533454400102,0.89404237533,26.8124,7.54488566116,SM-runs,0.89404237533,0.797170592933,0.862888324044,est,0.8
1,5,5,0.6797,0.0141141772697,0.0112068459942,0.0472625469076,5.793,0.0126885775404,SM-runs,0.0472625469076,0.906906740511,0.0561251434493,rand,0.3
1,5,5,0.2241,0.0225984512744,0.0104738617019,0.0352563060136,5.8245,0.0287619540365,SM-runs,0.0352563060136,0.45649321267,0.041644819513,rand,0.8
2,5,5,0.3145,0.0356237280475,0.190781598137,0.971721415894,7.8795,0.218422640768,SM-runs,0.971721415894,0.919189042595,0.962541727805,10,0.3
2,5,5,0.7619,0.132674375823,0.188331220229,0.965021202184,11.1625,0.381594090625,SM-runs,0.965021202184,0.561563997057,0.860924721702,10,0.8
2,5,5,0.665,0.0114629839047,0.00703600711512,0.0499184691953,5.808,0.004,SM-runs,0.0499184691953,0.939786446909,0.0592678496226,-10,0.3
2,5,5,0.2147,0.0105456152025,0.00585175914843,0.0459850244093,5.8275,0.0163171688721,SM-runs,0.0459850244093,0.670280552781,0.0543740054768,-10,0.8
2,5,5,0.0721,0.0190916211988,0.0431603832385,0.989147680449,12.1763,0.250411681037,SM-runs,0.989147680449,0.981742778371,0.987899965322,gt,0.3
